STATUS ATUAL DO TCE,ROLE (USUÁRIO),INSTRUÇÕES PARA O USUÁRIO,TCE É EDITÁVEL,BOTÕES ATIVOS (VISÍVEIS),AÇÃO (PARA QUE STATUS VAI)
NEW,company,Este TCE encontra-se em criação. Preencha os dados solicitados e clique em Salvar Estágio.,TRUE,Salvar Estágio,DRAFT
NEW,"teacher, admin, sudo",Este TCE encontra-se em criação. Preencha os dados solicitados e clique em Salvar Estágio.,TRUE,Salvar Estágio,DRAFT_BY_TEACHER
DRAFT_BY_TEACHER,company,"O TCE encontra-se em edição. Preencha os dados solicitados e clique em Atualizar Estágio. Depois, clique em Enviar para o professor avaliar.",TRUE,"Atualizar Estágio, Enviar para Avaliar, Gerar PDF","Não Modifica, WAITING_APPROVAL, Não Modifica"
DRAFT_BY_TEACHER,"teacher, admin, sudo","Professor, o TCE está em modo de edição. Copie o link da barra de endereços e envie-o à empresa para preenchimento.",TRUE,"Atualizar Estágio, Aprovar Estágio, Alterar status para Estagiando, Alterar status para Finalizado, Gerar PDF","Não Modifica, APPROVED, STARTED, FINISHED, Não modifica"
DRAFT,company,"O TCE encontra-se em edição. Preencha os dados solicitados e clique em Atualizar Estágio. Depois, clique em Enviar para o professor avaliar.",TRUE,"Atualizar Estágio, Enviar para Avaliar, Gerar PDF","Não modifica, WAITING_APPROVAL,  Não modifica"
DRAFT,"teacher, admin, sudo","Professor, este TCE sendo editado pela empresa e posterior envio para avaliação. Caso esteja fora do prazo, por favor, verifique a situação e adote as providências pertinentes. Se necessário, altere o status do TCE para Estagiando ou Finalizado.",TRUE,"Atualizar Estágio, Aprovar Estágio, Alterar status para Estagiando, Alterar status para Finalizado, Gerar PDF","Não Modifica, APPROVED, STARTED, FINISHED, Não modifica"
WAITING_APPROVAL,company,"O TCE foi enviado para aprovação do professor. Caso precise fazer ajustes, edite e reenvie para avaliação.",TRUE,"Atualizar Estágio, Enviar para Avaliar, Gerar PDF","Não Modifica, WAITING_APPROVAL, Não Modifica"
WAITING_APPROVAL,"teacher, admin, sudo","Professor, o TCE aguarda sua aprovação. Revise as informações e clique em Aprovar ou Devolver.",TRUE,"Atualizar Estágio, Aprovar Estágio, Devolver, Alterar status para Estagiando, Alterar status para Finalizado, Gerar PDF","Não Modifica, APPROVED, REVISION_REQUESTED, STARTED, FINISHED, Não modifica"
REVISION_REQUESTED,company,O TCE foi devolvido para correção. Realize os ajustes solicitados e clique em Atualizar Estágio e envie para o professor avaliar.,TRUE,"Atualizar Estágio, Enviar para Avaliar, Gerar PDF","Não Modifica, WAITING_APPROVAL, Não Modifica"
REVISION_REQUESTED,"teacher, admin, sudo","Foi solicitada revisão deste TCE. Aguarde o reenvio pela empresa após as correções. Caso esteja fora do prazo, por favor, verifique a situação e adote as providências pertinentes. Se necessário, altere o status do TCE para Estagiando ou Finalizado.",TRUE,"Atualizar Estágio, Alterar status para Estagiando, Alterar status para Finalizado, Gerar PDF","Não Modifica, STARTED, FINISHED, Não Modifica"
APPROVED,company,O TCE foi aprovado. Agora é possível gerar o documento oficial do estágio.,FALSE,Gerar PDF,
APPROVED,"teacher, admin, sudo","O TCE foi aprovado com sucesso. O estágio pode ser iniciado conforme o cronograma. Se necessário, altere o status do TCE para Estagiando ou Finalizado.",FALSE,"Gerar PDF, Alterar status para Estagiando, Alterar status para Finalizado","Não Modifica, STARTED, FINISHED"
STARTED,company,O estágio encontra-se em andamento.,FALSE,Gerar PDF,
STARTED,"teacher, admin, sudo","O estágio foi iniciado. Acompanhe as atividades conforme previsto. Se necessário, altere o status do TCE para Finalizado.",FALSE,"Gerar PDF, Alterar status para Finalizado","Não Modifica, FINISHED"
FINISHED,company,O estágio foi finalizado.,FALSE,Gerar PDF,Não Modifica
FINISHED,"teacher, admin, sudo",O estágio foi concluído com sucesso.,FALSE,Gerar PDF,Não Modifica
ARCHIVED,company,Este TCE foi arquivado e não pode mais ser editado.,FALSE,Gerar PDF,Não Modifica
ARCHIVED,"teacher, admin, sudo",O TCE foi arquivado para registro institucional.,FALSE,Gerar PDF,Não Modifica
